file_path,import_count,imports,top_level_modules
.venv/lib/python3.11/site-packages/_plotly_utils/exceptions.py,0,,
.venv/lib/python3.11/site-packages/_plotly_utils/files.py,1,import os,os
.venv/lib/python3.11/site-packages/_plotly_utils/importers.py,1,import importlib,importlib
.venv/lib/python3.11/site-packages/_plotly_utils/optional_imports.py,3,from importlib import; import logging; import sys,importlib; logging; sys
.venv/lib/python3.11/site-packages/_plotly_utils/png.py,13,import collections; import io; import itertools; import math; import operator; import re; import struct; import sys; import warnings; import zlib; from array import; import msvcrt; import os,array; collections; io; itertools; math; msvcrt; operator; os; re; struct; sys; warnings; zlib
.venv/lib/python3.11/site-packages/_plotly_utils/utils.py,7,import decimal; import json; import sys; import re; from functools import; from _plotly_utils.optional_imports import; from _plotly_utils.basevalidators import,_plotly_utils; decimal; functools; json; re; sys
.venv/lib/python3.11/site-packages/_yaml/__init__.py,4,import yaml; from sys import; from yaml._yaml import; import warnings,sys; warnings; yaml
.venv/lib/python3.11/site-packages/altair/__init__.py,8,from altair.vegalite import; from altair.vegalite.v5.schema.core import; from altair.jupyter import; from altair.expr import; from altair.utils import; from altair import; from altair._magics import; from altair.utils.deprecation import,altair
.venv/lib/python3.11/site-packages/altair/_magics.py,10,from __future__ import; import json; import warnings; from importlib.util import; from typing import; from IPython.core import; from narwhals.stable.v1.dependencies import; from altair.vegalite import; from IPython.core.getipython import; import yaml,IPython; __future__; altair; importlib; json; narwhals; typing; warnings; yaml
.venv/lib/python3.11/site-packages/altair/expr/__init__.py,8,from __future__ import; import sys; from typing import; from altair.expr.core import; from altair.vegalite.v5.schema.core import; from typing import; from typing_extensions import; from altair.expr.core import,__future__; altair; sys; typing; typing_extensions
.venv/lib/python3.11/site-packages/altair/expr/consts.py,1,from __future__ import,__future__
.venv/lib/python3.11/site-packages/altair/expr/core.py,8,from __future__ import; import datetime; from typing import; from altair.utils import; import sys; from altair.vegalite.v5.schema._typing import; from typing import; from typing_extensions import,__future__; altair; datetime; sys; typing; typing_extensions
.venv/lib/python3.11/site-packages/altair/expr/funcs.py,1,from __future__ import,__future__
.venv/lib/python3.11/site-packages/altair/jupyter/__init__.py,2,import anywidget; from .jupyter_chart import,; anywidget
.venv/lib/python3.11/site-packages/altair/jupyter/jupyter_chart.py,11,from __future__ import; import json; import pathlib; from typing import; import anywidget; import traitlets; import altair; from altair import; from altair.utils._vegafusion_data import; from altair.utils.selection import; from altair.utils._importers import,__future__; altair; anywidget; json; pathlib; traitlets; typing
.venv/lib/python3.11/site-packages/altair/theme.py,16,from __future__ import; from functools import; from typing import; from typing import; from altair.vegalite.v5.schema._config import; from altair.vegalite.v5.theme import; import sys; from typing import; from typing import; from typing_extensions import; from typing import; from typing_extensions import; from altair.utils.plugin_registry import; import altair; from altair import; from vega_datasets import,__future__; altair; functools; sys; typing; typing_extensions; vega_datasets
